Module Name	Module Code	Code Compare - PC	Code Compare - Hard Lock	Memory Allocation	Memory Allocation Code	Hard Lock ID Minimum Value	Hard Lock ID Maximum Value	Increment
Bizerba BMS	098101104107	7	7000	7-19-31-43	b-e-h-k	50	7000	75
Reports Module	080083086089	14	7250	8-20-32-44	P-S-V-Y	50	7250	75
Service Module	067070073076	21	7500	9-21-33-45	C-F-I-L	50	7500	75
Module 4	112115118121	28	7750	10-22-34-46	p-s-v-y	50	7750	75
Module 5	991021051080	35	8000	11-23-35-47	c-f-i-l	50	8000	75
Module 6	081084087090	42	8250	12-24-36-48	Q-T-W-Z	50	8250	75
Module 7	068071074077	49	8500	13-25-37-49	D-G-J-M	50	8500	75
Module 8	113116119122	56	8750	14-26-38-50	q-t-w-z	50	8750	75
Module 9	100103106109	63	9000	15-27-39-51	d-g-j-m	50	9000	75
Module 10	082085088049	70	9250	16-28-40-52	R-U-X-1	50	9250	75
Module 11	069072075078	77	9500	17-29-41-53	E-H-K-N	50	9500	75
Module 12	114117120500	84	9750	18-30-42-54	r-u-x-2	50	9750	75
